5,85
5,73
8,75
14,77
17,78
20,79
26,79
29,79
31,79
36,79
39,78
43,77
44,76
45,75
47,72
48,70
49,67
49,65
49,62
48,59
47,57
46,56
44,55
37,52
32,52
25,50
22,49
16,48
12,45
7,43
6,41
4,40
2,36
0,32
0,27
0,24
0,21
1,15
3,11
6,7
8,5
10,3
16,1
22,-1
29,-2
33,-2
36,-2
43,-1
46,0
50,0
57,3
61,4
61,16
57,14
50,11
47,10
43,9
36,8
33,8
31,8
26,8
22,8
19,9
17,11
16,12
14,13
13,15
12,18
12,21
12,23
12,25
13,28
15,30
16,32
17,33
20,34
25,36
29,38
36,39
39,40
45,41
50,43
54,45
55,47
57,48
59,50
60,53
61,57
61,62
61,64
60,67
58,72
55,77
53,81
51,82
46,84
40,86
34,88
30,89
27,89
21,88
18,88
15,87
8,86
5,85
